"","AINU","ANDAMAN","ANYANG","ARIKARA","ATAYAL","AUSTRALI","BERG","BURIAT","BUSHMAN","DOGON","EASTER I","EGYPT","ESKIMO","GUAM","HAINAN","MOKAPU","MORIORI","N JAPAN","N MAORI","NORSE","PERU","PHILLIPI","S JAPAN","S MAORI","SANTA CR","TASMANIA","TEITA","TOLAI","ZALAVAR","ZULU"
"PERU",6.85725861310564,5.82619403678283,7.84773309255779,6.21456712461203,4.25691876594073,7.93527705979555,4.4539096201738,9.69395207989127,7.50155979231417,6.76487667181429,9.8635543088007,6.41532440091161,10.0906706821912,7.81528711297378,4.88325985344709,7.7647327315514,7.92049123784012,5.37416096599414,9.24739319719638,6.79250419920368,0,6.08617937011637,5.32452083016902,9.9455933068769,3.91137981604942,6.6119356014759,8.60565635360324,7.68893114416522,4.61995515426897,6.70341680799965
"PHILLIPI",2.92232231692286,8.64862352272659,2.66942013282229,4.19891038292151,4.310598402745,6.21425635059847,5.11595735016337,7.44541078384448,8.81164435696776,6.71868462164087,6.04705877291446,7.68260889443199,7.48672729476976,2.46611046659932,2.34342301642439,3.59044104952935,5.33216752620348,2.42251723497785,5.96587360980686,6.97948244834844,6.08617937011637,0,2.79713472537644,6.18400769827486,4.99310432543838,5.18141625197795,7.48795240576845,5.07851610500298,4.6189185087545,3.71228737338047
"S JAPAN",3.7403949404894,7.40265784662753,3.70480007669396,5.15739300163613,3.1950543643952,6.92533829878736,5.45050637424876,8.12599814804173,7.51450604711776,6.18449470893253,6.19639520098486,7.21517341642291,7.31471574274337,3.79661377021508,1.78160871393021,3.73712698769348,5.83305516286289,1.53396533961056,6.54309012765885,7.06772815000082,5.32452083016902,2.79713472537644,0,7.07819506601004,4.94780336312192,5.69373447469555,7.1567304975985,5.65474736156284,4.77979236910874,3.8978138498309
"S MAORI",4.56099889321652,13.5019529107067,5.47305638564756,4.98629584635322,9.4294309367094,7.57506220523466,8.0582684245843,8.0124622270982,12.8197021100695,11.3056621937226,4.57848728701535,10.2058437787536,7.23365951068162,4.35564940169351,7.72973039113982,3.96718003989372,3.37254153106375,6.16483196685044,2.187007592611,8.4911091416986,9.9455933068769,6.18400769827486,7.07819506601004,0,7.55255261224176,7.94195938485644,10.5282524483954,7.49175579985496,7.23189969979447,7.29891375050165
"SANTA CR",5.3012390767915,7.67911103489837,6.78978728177966,4.11523199739132,5.42903691124258,5.21893409203404,4.67944746021122,8.51578363704066,7.74559234686199,7.12899995161988,7.97943961586851,7.09342442636938,8.71593693513677,6.3667954851797,4.9935848523688,6.17225760671266,5.39701939752235,4.50538521967929,6.81619572432965,6.33173075373371,3.91137981604942,4.99310432543838,4.94780336312192,7.55255261224176,0,4.56413862909618,7.70024520685962,5.41768733276508,4.60318790547288,5.14907696938021
"TASMANIA",5.00963844994117,8.03612526394506,7.18906673497266,5.55004147016556,6.07434258958813,2.1992095668261,5.95354036043379,10.1767846730424,7.56369048938037,6.757856862476,6.32127822094255,7.09886581997494,8.5871269720794,6.37359201337048,5.90461417176934,6.08218564709344,6.21856241632525,5.95278030579588,6.53634856246601,6.54161185480368,6.6119356014759,5.18141625197795,5.69373447469555,7.94195938485644,4.56413862909618,0,6.38811318641553,2.49665409270725,4.86705439454651,3.52219533203863
"TEITA",7.41995656979715,7.4414577935252,8.99370543980535,8.08650586061207,7.24478877454823,6.60627910697516,7.75629369695212,9.21160951878354,6.92402940773602,3.53997085532119,8.45602766516138,5.76986776295176,7.62113462874543,8.27838242109227,7.376028366198,8.41445530961907,9.02201726358325,7.8530736902706,9.635485029957,5.59077955290123,8.60565635360324,7.48795240576845,7.1567304975985,10.5282524483954,7.70024520685962,6.38811318641553,0,6.91802502004318,7.43139700441111,5.39120954315332
"TOLAI",5.30158751924233,8.78240192248406,6.65636295019333,5.65593795697887,6.70058799932513,3.36908062560505,7.58333108832479,10.2653766322236,8.87181348311529,7.24251992954055,5.68263289604961,8.27018920285536,7.93515460218347,5.98440355658742,5.90162202463124,5.29426931261584,5.75749571699269,5.91613403303981,6.03006875707286,7.72442661760643,7.68893114416522,5.07851610500298,5.65474736156284,7.49175579985496,5.41768733276508,2.49665409270725,6.91802502004318,0,6.40010441845978,4.43585754750683
"ZALAVAR",3.78620518706687,8.09725723331382,6.26502571216556,4.62312965791477,4.78137636079433,5.76557576217987,2.09694740674853,8.65412019969123,7.94611151215507,7.08531504931006,6.72755464600302,5.30641105314405,8.48705157471644,5.44200921541219,4.84799650581246,5.69154428447701,6.0394684702229,4.72401921181424,6.50932059169563,4.72318966063397,4.61995515426897,4.6189185087545,4.77979236910874,7.23189969979447,4.60318790547288,4.86705439454651,7.43139700441111,6.40010441845978,0,4.33872979110049
"ZULU",3.53468942341322,7.89469149956996,5.43384503299643,5.46262896426809,4.81448112317667,4.40693605854156,5.05777160925674,8.8580859851318,6.58000988523658,5.8104494595706,5.62782818475403,6.74546308244937,8.0138317158443,4.61456751301129,4.39296155724582,5.05957346555456,6.16520978056223,4.35893384193289,6.48530851552627,6.19132647507974,6.70341680799965,3.71228737338047,3.8978138498309,7.29891375050165,5.14907696938021,3.52219533203863,5.39120954315332,4.43585754750683,4.33872979110049,0
